"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Cycling","Bike","","","","2021-03-04","","63299.53125","","","","","2.32453489303589","7.56400012969971","","","","142","162","","","0.666966408815438","117","60","68","12","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-04","","10828.849609375","","","","","0.890135586261749","3.37899994850159","","80","","148","163","","","0.893987256185799","78.57","7","46","1","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-03-05","","32332.0703125","","","","","1.01210498809814","8.87399959564209","","","","147","157","","","0.685232429898254","52.68","12","47","1","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2021-03-06","","25164.060546875","","","","","4.95605802536011","1.4099999666214","","48","","","","","","0.408235980041599","95.23","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-08","","5009.85009765625","","","","","0.319141954183578","4.36100006103516","","81","","175","180","","","1.15432392715107","45.79","0","0","0","19","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-09","","12011.91015625","","","","","0.971514403820038","3.43400001525879","","80","","150","163","","","0.909899539221521","89.05","6","41","11","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-10","","12483.4404296875","","","","","1.03333389759064","3.35599994659424","","80","","147","160","","","0.892590157761665","91.28","13","45","4","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-13","","11625.9404296875","","","","","0.962791681289673","3.35400009155273","","80","","145","155","","","0.890053605083092","84.41","14","44","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-14","","10662.900390625","","","","","0.869787514209747","3.40499997138977","","79","","146","163","","","0.892734312377463","76.54","13","35","4","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-16","","11658.6298828125","","","","","1.01858603954315","3.17899990081787","","79","","143","155","","","0.840360657221224","79.72","29","32","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-17","","10177.7099609375","","","","","0.83974301815033","3.36700010299683","","80","","144","161","","","0.893817111091898","73.99","20","26","5","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-19","","22539.099609375","","","","","1.64605939388275","3.80399990081787","","81","","","","","","1.00159583661635","185.23","","","","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2021-03-20","","21719.939453125","","","","","5.92621564865112","1.01800000667572","","33","","","","","","0.368257607130157","93.08","","","","","","","","","","","","","","","","","","","","","",""
